Verne Troyer - 1969,Jack Wilshere - 1992,Colin Morgan - 1986,Jeremy Irvine - 1990,King Louis XII of france - 1515,Ron Asheton - 2009,New Years Day,1999 - The Euro becomes legal tender
Ben Hardy - 1991,Kate Bosworth - 1983,Maxi Rodriguez - 1981,Cuba Gooding Jr - 1968,Pete Postlethwaite - 2011,Guccio Gucci - 1953,1818 - Institution of Civil Engineers founded,1981 - The Yorkshire Ripper Arrested
Mel Gibson - 1956,JRR Tolkein - 1892,Danica McKellar - 1975,Eli Manning - 1981,Conrad Hilton - 1979,Alicia Rhett - 2014,1959 - Alaska becomes the 49th state,1977 - Apple is founded
Craig Revel Horwood - 1965,Labrinth - 1989,Louis Braille - 1809,James Milner - 1986,Erwin Schrodinger - 1961,T.S Eliot - 1965,1896 - Utah becomes the 45th state,2010 - The Burj Khalifah opens
Bradley Cooper - 1975,Diane Keaton - 1946,Deadmau5 - 1981,Marilyn Manson - 1969,Calvin Coolidge - 1933,Ernest Shackleton - 1922,1886 - Dr Jekyll and Mr Hyde published,1952 - Churchill makes official visit to US
Rowan Atkinson - 1955,Eddie Redmayne - 1982,Norman Reedus - 1969,Andy Carroll - 1989,Theodore Roosevelt - 1919,Om Puri - 2017,1066 - Harold becomes first king of England,1540 - Henry VIII marries Anne of Cleeves
Lewis Hamilton - 1985,Nicolas Cage - 1964,Eden Hazard - 1991,Jeremy Renner - 1971,Nikola Tesla - 1943,Huell Howser - 2013,1927 - The first transatlantic telephone is built,2015 - Charlie Hebdo Massacre
Stephen Hawking - 1942,David Bowie - 1947,Kim-Jong Un - 1983,Elvis Presley - 1935,Galileo Galilei - 1642,Lord Robert Baden Powell - 1941,1828 - The US democratic party is founded,1963 - Mona Lisa displayed in US for the first time 
Kate Middlerton - 1982,Sean Paul - 1973,Richard Nixon - 1913,JK Simmons - 1955,Marco Polo - 1324,Angus Scrimm - 2016,2007 - Steve Jobs announces the first iPhone,1957 - Prime Minister Anthony Eden Resigns
Rod Stewart - 1945,Tony Gardner - 1964,George Foreman - 1949,Abbey Clancy - 1986,David Bowie - 2016,Coco Chanel - 1971,49BC - Caesar's civil war begins,1946 - The first meeting of the United Nations
Rachel Riley - 1986,Louisa Johnson - 1998,Jamie Vardy - 1987,LunchMoneyLewis - 1988 ,Sir Edmund Hillary - 2008,Thomas Hardy - 1928,1935 - First solo flight from hawaii to california,1879 - Anglo-Zulu war begins
Zayn Malik - 1993,Pixie Lott - 1991,Mel C - 1974,Joe Frazier - 1944,Maurice Gibb - 2003,Agatha Christie - 1976,2010 - Earthquake in Haiti kills over 100000 people ,2004 - RMS Queen Mary II makes its maiden voyage
Orlando Bloom - 1977,Max Whitlock - 1993,Liam Hemsworth - 1990,Sketch from tattoo fixers - 1988,Lawrence Phillips - 2016,Lord Snowdon - 2017,1993 - Endeavour is launched for 3rd time,2012 - Costa Concordia Sinks 
Dave Grohl - 1969,Jason Bateman - 1969,Jack P Shepherd - 1988,Frankie Bridge - 1989,Alan Rickman - 2016,Anthony Eden - 1977,1972 - Margrethe becomes Denmark's first queen since 1412,1943 - Casablanca Conference
