,Birth 1,Birth 2,Birth 3,Birth 4,Death 1,Death 2,Event 1,Event 2
01-Jan,Verne Troyer- 1969,Jack Wilshere- 1992,Colin Morgan- 1986,Jeremy Irvine- 1990,1515 - King Louis XII of france,2009 - Ron Asheton,New Years Day,1999 - The Euro becomes legal tender
02-Jan,Ben Hardy- 1991,Kate Bosworth- 1983,Maxi Rodriguez- 1981,Cuba Gooding Jr- 1968,2011- Pete Postlethwaite,1953 - Guccio Gucci,1818 - Institution of Civil Engineers founded,1981 - The Yorkshire Ripper Arrested
03-Jan,Mel Gibson- 1956,JRR Tolkein- 1892,Danica McKellar- 1975,Eli Manning- 1981,1979 - Conrad Hilton,2014 - Alicia Rhett,1959 - Alaska becomes the 49th state,1977 - Apple is founded
04-Jan,Craig Revel Horwood- 1965,Labrinth- 1989,Louis Braille- 1809,James Milner- 1986,1961 - Erwin Schrodinger,1965 - T.S Eliot,1896 - Utah becomes the 45th state,2010 - The Burj Khalifah opens
05-Jan,Bradley Cooper- 1975,Diane Keaton- 1946,Deadmau5- 1981,Marilyn Manson- 1969,1933 - Calvin Coolidge,1922 - Ernest Shackleton,1886 - Dr Jekyll and Mr Hyde published,1952 - Churchill makes official visit to US
06-Jan,Rowan Atkinson- 1955,Eddie Redmayne- 1982,Norman Reedus- 1969,Andy Carroll- 1989,1919 - Theodore Roosevelt,2017 - Om Puri,1066 - Harold becomes first king of England,1540 - Henry VIII marries Anne of Cleeves
07-Jan,Lewis Hamilton- 1985,Nicolas Cage- 1964,Eden Hazard- 1991,Jeremy Renner- 1971,1943 - Nikola Tesla,2013 - Huell Howser,1927 - The first transatlantic telephone is built,2015 - Charlie Hebdo Massacre
08-Jan,Stephen Hawking- 1942,David Bowie- 1947,Kim-Jong Un- 1983,Elvis Presley- 1935,1642 - Galileo Galilei,1941 - Lord Robert Baden Powell,1828 - The US democratic party is founded,1963 - Mona Lisa displayed in US for the first time 
09-Jan,Kate Middlerton- 1982,Sean Paul- 1973,Richard Nixon- 1913,JK Simmons- 1955,1324 - Marco Polo,2016 - Angus Scrimm,2007 - Steve Jobs announces the first iPhone,1957 - Prime Minister Anthony Eden Resigns
10-Jan,Rod Stewart- 1945,Tony Gardner- 1964,George Foreman- 1949,Abbey Clancy- 1986,2016 - David Bowie,1971 - Coco Chanel,49BC - Caesar's civil war begins,1946 - The first meeting of the United Nations
11-Jan,Rachel Riley- 1986,Louisa Johnson- 1998,Jamie Vardy- 1987,LunchMoneyLewis- 1988 ,2008 - Sir Edmund Hilary,1928 - Thomas Hardy,1935 - First solo flight from hawaii to california,1879 - Anglo-Zulu war begins
12-Jan,Zayn Malik- 1993,Pixie Lott- 1991,Mel C- 1974,Joe Frazier- 1944,2003 - Maurice Gibb,1976 - Agatha Christie,2010 - Earthquake in Haiti kills over 100-000 people ,2004 - RMS Queen Mary II makes its maiden voyage
13-Jan,Orlando Bloom- 1977,Max Whitlock- 1993,Liam Hemsworth- 1990,Sketch from tattoo fixers- 1988,2016 - Lawrence Phillips,2017 - Lord Snowdon,1993 - Endeavour is launched for 3rd time,2012 - Costa Concordia Sinks 
14-Jan,Dave Grohl- 1969,Jason Bateman- 1969,Jack P Shepherd- 1988,Frankie Bridge- 1989,2016 - Alan Rickman,1977 - Anthony Eden,1972 - Margrethe becomes Denmark's first queen since 1412,1943 - Casablanca Conference
15-Jan,Martin Luther King- 1929,Pitbull- 1981,Skrillex- 1988,Claudia Winkleman- 1972,2014 - Roger Lloyd Pack,2016 - Dan Haggerty,1559 - Elizabeth I Crowned queen of england,1970 - Colonel Gaddafi becomes leader of libya
16-Jan,James May- 1963,Kate Moss- 1974,Nicklas Bendtner- 1988,FKA Twigs- 1988,2014 - Russell Johnson,2017 - Eugene Cernan,1920 - League of Nations holds first council,1980 - Paul McCartney jailed for 10 days for cannabis possesion
17-Jan,Jim Carrey- 1962,Michelle Obama- 1964,Muhamed Ali- 1942,Calvin Harris- 1984,1893 - Rutherford B Hayes,2008 - Bobby Fischer,1966 - Martin Luther King opens campaign in Chicago,1976 - I write the songs by barry mannilow becomes number 1 in UK
18-Jan,Jason Segel 1980,Dave Bautista- 1969,Pep Guardiola- 1971,AA Milne- 1882,1862 - John Tyler,2016 - Glenn Frey,1919 - Bentley Motors founded,1973 - Final episode of Monty Python's flying circus
